"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"M_PIN1,M_PIN3,M_PIN2,M_PIN4";"PinSocket_1x03_P2.54mm_Vertical";4;"Conn_01x03";;;
2;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"MountingHole_2.5mm";8;"MountingHole_2.5mm";;;
3;"D10,D1,D2,D3,D4,D5,D6,D7,D8";"D_A-405_P5.08mm_Vertical_AnodeUp";9;"D";;;
4;"C4,C5";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10p";;;
5;"U5,U9,U8,U7";"Everlight_ITR8307";4;"ITR8307";;;
6;"BOOT_PIN1,BOOT_PIN2,PRGRM_PIN1,PRGRM_PIN2,US_PIN1,US_PIN2,US_PIN3,US_PIN4,USB_PIN1,USB_PIN2";"PinHeader_1x02_P2.54mm_Vertical";10;"Conn_01x02";;;
7;"C1,C2,C3,C8,C9,C13";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"100n";;;
8;"C6,C7";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"22p";;;
9;"C15,C17,C18,C21";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"10n";;;
10;"CP2,CP3";"CP_Elec_4x5.3";2;"10uF";;;
11;"CP4";"CP_Elec_4x5.3";1;"220uF";;;
12;"CP5,CP6";"CP_Elec_4x5.3";2;"100uF";;;
13;"D9";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED";;;
14;"J1";"SolderWirePad_1x03_P5.715mm_Drill2mm";1;"Conn_01x03_Male";;;
15;"J2";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Female";;;
16;"J3";"USB_Mini-B_Lumberg_2486_01_Horizontal";1;"USB_B_Mini";;;
17;"J4,J5";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Female";;;
18;"J7,J8";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03_Female";;;
19;"JP1,JP2";"PinSocket_1x02_P2.54mm_Vertical";2;"Jumper";;;
20;"M1,M2";"SolderWirePad_1x02_P5.08mm_Drill1.5mm";2;"Motor_DC";;;
21;"R1,R4,R8";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"10K";;;
22;"R2,R6,R9,R10";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"1R";;;
23;"R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1K5";;;
24;"R5,R7";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1K";;;
25;"R11";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100k";;;
26;"R12,R13,R14,R15,R16,R17,R18,R19";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";8;"220";;;
27;"R20";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"R";;;
28;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3V3";;;
29;"U3";"SOT-223-3_TabPin2";1;"AMS1117-5.0";;;
30;"U4";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8Tx";;;
31;"U6";"HSOP-20-1EP_11.0x15.9mm_P1.27mm_SlugUp";1;"L298P";;;
32;"Y1";"Crystal_SMD_SeikoEpson_MA505-2Pin_12.7x5.1mm";1;"32.768Khz";;;
33;"Y2";"Crystal_SMD_SeikoEpson_MA505-2Pin_12.7x5.1mm";1;"8Mhz";;;
34;"V_PIN1,V_PIN2";"SolderWirePad_1x02_P5.08mm_Drill1.5mm";2;"Conn_01x02";;;
35;"SW1,SW2";"SW_Push_1P1T_NO_6x6mm_H9.5mm";2;"SW_Push";;;
36;"SW_PIN1,SW_PIN2";"PinSocket_1x02_P2.54mm_Vertical";2;"Conn_01x02";;;
